Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country;
Khanyi M,2020-05-17 12:49:32,00:29:02,,Into the Night: Season 1: Rik (Episode 5),,Chrome PC (Cadmium),00:34:46,00:34:46,ZA (South Africa);
Khanyi M,2020-05-16 20:05:50,00:00:35,,Into the Night: Season 1: Rik (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:07:24,Not latest view,ZA (South Africa);
Khanyi M,2020-05-16 16:29:29,00:08:57,,Into the Night: Season 1: Rik (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:08:24,Not latest view,ZA (South Africa);
Khanyi M,2020-05-16 15:52:25,00:36:52,,Into the Night: Season 1: Ayaz (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:34:51,00:34:51,ZA (South Africa);
Khanyi M,2020-05-16 15:33:41,00:14:12,,Into the Night: Season 1: Mathieu (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:32:58,00:32:58,ZA (South Africa);
Khanyi M,2020-05-16 15:33:36,00:00:02,,Into the Night: Season 1: Jakub (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:00:02,00:00:02,ZA (South Africa);
Khanyi M,2019-05-19 17:25:11,00:06:13,,HOMECOMING: A film by Beyoncé,,Android DefaultWidevineL3Phone Android Phone,00:24:24,00:24:24,ZA (South Africa);
Khanyi M,2019-05-19 16:59:46,00:14:24,,HOMECOMING: A film by Beyoncé,,Android DefaultWidevineL3Phone Android Phone,00:58:02,Not latest view,ZA (South Africa);
Khanyi M,2019-03-25 11:35:31,00:00:04,Autoplayed: user action: Unspecified; ,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Chrome PC (Cadmium),00:00:04,00:00:04,ZA (South Africa)
Khanyi M,2019-03-24 22:14:48,00:29:00,,Shadow: Season 1: Mary's Blackmail (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:39:16,00:39:16,ZA (South Africa);
Khanyi M,2019-03-24 18:35:04,00:10:17,,Shadow: Season 1: Mary's Blackmail (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:10:17,Not latest view,ZA (South Africa);
Khanyi M,2019-03-24 18:34:18,00:00:03,,Shadow: Season 1: Mary's Blackmail (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:00:03,Not latest view,ZA (South Africa);
Khanyi M,2019-03-24 17:29:17,00:17:57,,Isn't It Romantic,,Android DefaultWidevineL3Phone Android Phone,01:24:16,01:24:16,ZA (South Africa);
Khanyi M,2019-03-24 11:17:56,00:10:01,,Isn't It Romantic,,Android DefaultWidevineL3Phone Android Phone,01:06:10,Not latest view,ZA (South Africa);
Khanyi M,2019-03-24 10:18:03,00:19:52,,Isn't It Romantic,,Android DefaultWidevineL3Phone Android Phone,00:56:09,Not latest view,ZA (South Africa);
Khanyi M,2019-03-24 09:38:31,00:24:45,,Isn't It Romantic,,Android DefaultWidevineL3Phone Android Phone,00:36:33,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 19:18:10,00:11:52,,Isn't It Romantic,,Android DefaultWidevineL3Phone Android Phone,00:11:52,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 18:20:48,00:42:22,,Dynasty: Season 2: Motherly Overprotectiveness (Episode 15),,Android DefaultWidevineL3Phone Android Phone,00:42:20,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 18:14:04,00:06:34,,Dynasty: Season 2: Parisian Legend Has It… (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:42:13,00:42:13,ZA (South Africa);
Khanyi M,2019-03-23 17:36:08,00:01:59,,Dynasty: Season 2: Parisian Legend Has It… (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:35:40,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 16:49:40,00:20:27,,Dynasty: Season 2: Parisian Legend Has It… (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:33:49,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 16:09:43,00:11:18,,Dynasty: Season 2: Parisian Legend Has It… (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:13:23,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 07:07:53,00:01:04,,Dynasty: Season 2: Parisian Legend Has It… (Episode 14),,Android DefaultWidevineL3Phone Android Phone,00:01:46,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 06:57:52,00:09:20,,Dynasty: Season 2: Even Worms Can Procreate (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:42:12,00:42:12,ZA (South Africa);
Khanyi M,2019-03-23 05:44:41,00:32:31,,Dynasty: Season 2: Even Worms Can Procreate (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:32:53,Not latest view,ZA (South Africa);
Khanyi M,2019-03-23 05:27:33,00:17:04,,Dynasty: Season 2: Filthy Games (Episode 12),,Android DefaultWidevineL3Phone Android Phone,00:41:59,00:41:59,ZA (South Africa);
Khanyi M,2019-03-22 19:39:51,00:07:04,,Dynasty: Season 2: Filthy Games (Episode 12),,Android DefaultWidevineL3Phone Android Phone,00:24:58,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 19:16:34,00:17:28,,Dynasty: Season 2: Filthy Games (Episode 12),,Android DefaultWidevineL3Phone Android Phone,00:18:12,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 17:13:15,00:23:37,,Dynasty: Season 2: The Sight of You (Episode 11),,Android DefaultWidevineL3Phone Android Phone,00:42:20,00:42:20,ZA (South Africa);
Khanyi M,2019-03-22 16:45:55,00:18:47,,Dynasty: Season 2: The Sight of You (Episode 11),,Android DefaultWidevineL3Phone Android Phone,00:18:44,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 15:20:05,00:05:02,,Dynasty: Season 2: A Champagne Mood (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:33:13,00:33:13,ZA (South Africa);
Khanyi M,2019-03-22 10:17:14,00:10:57,,Dynasty: Season 2: A Champagne Mood (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:27:28,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 09:47:50,00:04:14,,Dynasty: Season 2: A Champagne Mood (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:17:20,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 09:07:42,00:12:14,,Dynasty: Season 2: A Champagne Mood (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:13:14,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 08:34:42,00:31:51,,Dynasty: Season 2: Crazy Lady (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:42:05,00:42:05,ZA (South Africa);
Khanyi M,2019-03-22 08:10:36,00:09:40,,Dynasty: Season 2: Crazy Lady (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:10:19,Not latest view,ZA (South Africa);
Khanyi M,2019-03-22 07:28:24,00:41:33,,Dynasty: Season 2: A Real Instinct for the Jugular (Episode 8),,Android DefaultWidevineL3Phone Android Phone,00:42:13,00:42:13,ZA (South Africa);
Khanyi M,2019-03-22 07:05:15,00:23:04,,Dynasty: Season 2: A Temporary Infestation (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:42:09,00:42:09,ZA (South Africa);
Khanyi M,2019-03-21 21:15:34,00:17:59,,Dynasty: Season 2: A Temporary Infestation (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:19:06,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 21:09:26,00:05:49,,Dynasty: Season 2: That Witch (Episode 6),,Android DefaultWidevineL3Phone Android Phone,00:42:13,00:42:13,ZA (South Africa);
Khanyi M,2019-03-21 20:13:07,00:35:52,,Dynasty: Season 2: That Witch (Episode 6),,Android DefaultWidevineL3Phone Android Phone,00:36:49,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 19:50:46,00:22:17,,Dynasty: Season 2: Queen of Cups (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:42:17,00:42:17,ZA (South Africa);
Khanyi M,2019-03-21 19:41:44,00:02:16,,Dynasty: Season 2: Queen of Cups (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:20:02,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 19:15:43,00:12:18,,Dynasty: Season 2: Queen of Cups (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:17:46,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 19:06:41,00:04:44,,Dynasty: Season 2: Queen of Cups (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:05:16,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 16:12:10,00:07:00,,Dynasty: Season 2: Snowflakes in Hell (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:42:54,00:42:54,ZA (South Africa);
Khanyi M,2019-03-21 14:48:06,00:12:39,,Dynasty: Season 2: Snowflakes in Hell (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:35:11,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 14:18:46,00:19:18,,Dynasty: Season 2: Snowflakes in Hell (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:22:32,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 08:45:48,00:08:03,,Dynasty: Season 2: Snowflakes in Hell (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:08:32,Not latest view,ZA (South Africa);
Khanyi M,2019-03-21 08:00:44,00:06:00,,Chef's Table: Volume 1: Ben Shewry (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:30:46,00:30:46,ZA (South Africa);
